R,G,B
129.5756,82.5064,41.677600000000005
129.53,83.1396,42.111200000000004
128.4332,80.8836,39.647600000000004
129.2992,81.8768,40.3144
130.54240000000001,83.9992,42.9108
137.7504,90.6816,47.802
144.6716,98.37400000000001,55.3748
151.0316,103.7488,58.3896
156.79080000000002,108.3604,62.689600000000006
161.9472,116.3164,70.6112
167.3768,121.53880000000001,73.1692
168.9384,123.08720000000001,74.4304
172.83440000000002,128.55360000000002,80.6416
174.7588,129.3544,80.8816
175.1576,130.4248,82.31240000000001
176.6292,133.776,87.48320000000001
176.93880000000001,133.4992,84.9096
176.3676,134.056,85.98360000000001
178.406,136.18880000000001,87.45360000000001
177.3716,134.6468,85.1832
177.9332,135.7476,85.60560000000001
178.448,137.5428,88.45880000000001
177.62720000000002,135.1852,84.44720000000001
177.6096,136.52,86.224
178.228,137.5272,87.8052
177.6636,135.76080000000002,85.3888
177.83,138.1604,89.88560000000001
180.3168,144.874,102.62920000000001
183.8776,154.868,116.7608
183.2484,155.324,118.8712
176.74360000000001,141.68640000000002,100.01320000000001
175.82760000000002,136.0728,87.9852
176.93880000000001,138.9976,90.9828
176.99360000000001,138.6916,89.3468
176.1584,137.454,89.1992
176.1584,137.454,89.1992
176.6532,139.288,91.178
174.3544,136.6724,88.4312
174.912,138.4716,90.8448
174.6712,136.294,87.6924
174.5456,137.00560000000002,88.7264
174.722,137.636,89.7228
174.5772,135.056,85.8336
174.51520000000002,136.2692,88.6932
174.6968,137.7032,89.41080000000001
174.9028,135.79240000000001,88.04440000000001
174.9028,135.79240000000001,88.04440000000001
174.76760000000002,137.7884,90.9576
174.7572,137.8428,92.1956
172.12120000000002,138.7164,94.7596
172.6232,138.4196,95.97720000000001
171.7752,136.3,92.3712
172.51680000000002,138.11960000000002,93.9884
173.46800000000002,136.5576,90.7428
173.102,134.9296,88.71560000000001
173.256,136.2716,90.94160000000001
173.3192,134.1856,89.57440000000001
173.3192,134.1856,89.57440000000001
171.4828,133.684,89.2384
171.316,134.2064,88.38640000000001
170.4776,131.4148,87.7252
172.28,131.7992,85.1504
171.80280000000002,129.7328,82.55680000000001
172.00400000000002,130.5012,83.8816
172.4076,130.8568,84.01360000000001
172.288,128.4488,79.366
171.35320000000002,130.09720000000002,81.2932
171.35320000000002,130.09720000000002,81.2932
171.8288,129.45080000000002,79.934
170.1344,127.32000000000001,77.5768
170.12800000000001,129.01160000000002,82.42
170.5944,127.54440000000001,79.8816
169.114,125.3692,78.1088
169.2792,125.33000000000001,77.8148
167.7372,124.1808,76.7196
169.65120000000002,125.9916,79.27120000000001
169.63240000000002,124.78,76.8856
169.2604,124.7492,77.13080000000001
169.2604,124.7492,77.13080000000001
170.3788,126.3768,78.4024
170.17360000000002,124.7288,76.9888
169.6608,125.266,77.71640000000001
170.5752,126.79560000000001,77.98400000000001
170.4264,124.86840000000001,75.9804
170.1168,126.06960000000001,78.1884
170.1696,125.2128,76.308
170.8596,127.00200000000001,78.6828
171.3152,126.9548,78.8284
170.5988,125.38000000000001,77.4016
170.5988,125.38000000000001,77.4016
171.204,127.01520000000001,79.27040000000001
170.4824,125.8816,78.408
169.2452,123.9792,76.13000000000001
169.3252,125.5412,78.9696
168.3084,124.3516,76.75760000000001
167.59120000000001,122.8576,74.644
168.1412,124.3268,78.3692
166.7844,121.90400000000001,73.52080000000001
167.0936,123.44040000000001,76.96520000000001
167.0936,123.44040000000001,76.96520000000001
167.00320000000002,121.2228,73.9392
166.6488,120.97,74.0724
167.1644,121.92760000000001,74.9992
166.24280000000002,119.25880000000001,70.40480000000001
166.14440000000002,119.396,71.63600000000001
165.5124,120.0044,72.3332
164.5932,117.2136,69.00280000000001
164.9472,118.39920000000001,69.9544
165.6704,118.0664,70.1964
163.76000000000002,116.4016,68.7052
163.76000000000002,116.4016,68.7052
163.9772,115.2688,67.5888
162.04240000000001,113.13640000000001,66.0704
162.2324,113.5,66.6476
160.45520000000002,111.9116,64.4692
159.25480000000002,110.092,63.7948
159.67520000000002,111.542,66.16720000000001
158.5532,109.546,63.25
158.0312,109.24680000000001,63.314400000000006
159.14600000000002,111.266,65.4444
158.2748,109.2312,63.226000000000006
158.076,109.1328,63.1144
158.95520000000002,110.59880000000001,65.21520000000001
157.7624,109.19720000000001,62.17
157.8684,110.1512,63.67400000000001
158.7836,111.0092,65.6512
157.87040000000002,109.02080000000001,62.622
158.5384,110.4016,64.9756
158.7716,111.20200000000001,65.316
157.7144,109.1636,63.33560000000001
158.19,111.32560000000001,65.0236
158.70680000000002,111.45320000000001,66.0948
157.892,110.1696,64.5596
159.228,112.9124,68.0356
157.95440000000002,111.53920000000001,66.87440000000001
157.1208,110.284,66.266
157.07160000000002,112.0052,68.01440000000001
155.5756,109.5604,65.592
154.7876,108.7172,64.6436
155.0628,109.90960000000001,66.306
154.45080000000002,107.3712,64.0772
152.3068,106.78240000000001,64.0124
152.8192,107.5548,65.4768
150.6916,104.5368,59.2916
150.3488,104.2776,60.698
150.8408,104.5308,60.6308
149.46800000000002,102.23360000000001,57.534000000000006
149.5324,103.0616,59.260000000000005
149.518,103.1312,58.8956
148.12120000000002,100.7852,56.0552
148.5036,102.0848,58.7252
149.3144,102.01400000000001,57.803200000000004
148.416,100.66600000000001,56.659200000000006
149.5672,102.5492,58.994
149.6188,101.98,58.1088
148.3084,100.7428,56.0336
149.9896,102.6932,58.592800000000004
149.7552,101.2692,57.083200000000005
148.6824,100.9212,56.327600000000004
150.632,102.84320000000001,59.245200000000004
150.476,101.2628,56.543200000000006
149.6456,101.256,56.754000000000005
151.5076,103.73,58.9636
150.91,102.474,55.426
151.89360000000002,104.322,59.682
153.7808,105.7656,61.3312
153.8984,104.574,58.4112
154.942,106.2472,60.107600000000005
156.5512,107.5368,61.351200000000006
156.4392,105.9188,59.7768
157.892,109.11080000000001,62.8352
159.2868,109.5664,63.3864
158.466,108.78240000000001,61.890800000000006
160.40560000000002,111.6588,65.0496
160.9444,111.2444,63.6856
160.0748,109.9916,62.0576
160.9444,111.80040000000001,65.4632
161.02720000000002,110.584,63.886
160.27800000000002,110.50240000000001,63.7672
161.7632,112.80000000000001,65.6812
161.18800000000002,110.9508,63.9468
160.8264,111.012,64.0552
161.7064,112.5764,65.3604
160.5932,110.7724,62.739200000000004
160.776,111.2536,63.952000000000005
162.0064,112.79560000000001,65.8112
161.244,110.81200000000001,62.728
161.3384,111.81920000000001,64.98960000000001
161.49280000000002,112.2384,65.3324
160.2108,110.126,63.012800000000006
160.166,111.76520000000001,64.116
